상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 298-23,제주특별자치도 서귀포시 성산읍 동류암로 48,63640,126.9156501,33.44907162
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 1312,제주특별자치도 서귀포시 중앙로 198-9,63585,126.5597893,33.26244245
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025631,제주특별자치도 제주시 구좌읍 하도리 1774-10,제주특별자치도 제주시 구좌읍 문주란로1길 74-24,63363,126.8850717,33.52550168
CU서귀강정이어도로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 927-1,제주특별자치도 서귀포시 이어도로 793,63564,126.5001419,33.23661854
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1080-8,제주특별자치도 제주시 중앙로 327,63223,126.5364893,33.49213929
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 276-9,제주특별자치도 제주시 신광로 103,63136,126.4901338,33.4828559
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 2408-1,제주특별자치도 제주시 구산로 28,63236,126.5383747,33.48303759
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 251-7,제주특별자치도 제주시 연동1길 3,63129,126.4869295,33.48955154
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025321,제주특별자치도 제주시 애월읍 광령리 167,제주특별자치도 제주시 애월읍 광령평화10길 1,63064,126.442607,33.45482412
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025031,제주특별자치도 서귀포시 대정읍 무릉리 919-7,제주특별자치도 서귀포시 대정읍 하모상가로 38-2,63501,126.2530667,33.2213307
제에스25오일장점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 807-5,제주특별자치도 서귀포시 토평서로11번길 155,63579,126.5736338,33.26573966
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 3780-6,제주특별자치도 제주시 노형8길 3,63083,126.4778517,33.48442764
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 282-21,제주특별자치도 제주시 신대로12길 41,63124,126.4922285,33.48863342
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 303-2,제주특별자치도 제주시 신대로14길 5,63123,126.4960019,33.48757936
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032021,제주특별자치도 서귀포시 표선면 표선리 732,제주특별자치도 서귀포시 표선면 표선관정로 79,63629,126.8294465,33.32540433
세븐일레븐서귀포고성리점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025924,제주특별자치도 서귀포시 성산읍 고성리 330-1,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-2,63640,126.9160414,33.44787586
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,용담2동,용담이동,5011058000,5011010900,제주특별자치도 제주시 용담이동 2002,제주특별자치도 제주시 공항로 2,63115,126.4960074,33.50592635
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1065-1,제주특별자치도 제주시 연삼로 404,63223,126.5347711,33.49513025
